CountType,DictSize,Epochs,BatchSize,AvgProfit
full,10000,10,64,-0.0917
full,100000,10,64,-0.1142
hi_lo,10000,10,64,-0.088
hi_lo,100000,10,64,-0.1048
zen,10000,10,64,-0.1097
zen,100000,10,64,-1.7127
uston_apc,10000,10,64,-0.1025
uston_apc,100000,10,64,-0.1121
ten_count,10000,10,64,-1.802
ten_count,100000,10,64,-0.4144
comb_counts,10000,10,64,-0.118
comb_counts,100000,10,64,-0.1122
