DECK_COUNT,GAMMA,BATCH_SIZE,LEARNING_RATE,EPS_START,EPS_DECAY,EPS_MIN,MIN_BET,MAX_BET,INITIAL_BANKROLL,MEMORY_SIZE,AverageReward,HardAcc,SoftAcc,PairsAcc,OverallAcc
1,0.9,32,0.0001,1.0,0.98,0.01,1,50,1000,1000,-0.2285,,,,
1,0.9,32,0.0001,1.0,0.98,0.01,1,50,1000,20000,-0.7185,,,,
1,0.9,32,0.0001,1.0,0.98,0.01,1,50,1000,50000,-0.2465,,,,
1,0.9,32,0.0001,1.0,0.98,0.001,1,50,1000,1000,-0.2595,,,,
1,0.9,32,0.0001,1.0,0.98,0.001,1,50,1000,20000,-0.208,,,,
1,0.9,32,0.0001,1.0,0.98,0.001,1,50,1000,50000,-0.229,,,,
1,0.9,32,0.0001,1.0,0.99,0.01,1,50,1000,1000,-0.202,,,,
1,0.9,32,0.0001,1.0,0.99,0.01,1,50,1000,20000,-0.213,,,,
1,0.9,32,0.0001,1.0,0.99,0.01,1,50,1000,50000,-0.2305,,,,
